video_name,expected_frames,number_of_actual_frames,expected_interval,average_interval,stdev_interval,actual_length_seconds,avg_fps
220427_BF_RC7_30ms_11.3x-crawl-ACR125_50ms_1,300,300,50.0,264.76,165.13202096451826,79.428,3.777005589968273
220427_BF_RC7_30ms_11.3x-crawl-ACR125_50ms_2_1,300,300,50.0,283.46666666666664,199.99634333335013,85.04,3.527751646284101
220427_BF_RC7_30ms_11.3x-crawl-ACR125_burst_1,100,100,1.0,36.308,11.82934222067049,3.6308,27.54213947339429
220427_BF_RC7_30ms_11.3x-crawl-ACR125_burst_3_1,100,100,1.0,37.5768,13.263488798619749,3.75768,26.612164952843244
220427_BF_RC7_30ms_11.3x-swim-acr125_burst_1,100,100,1.0,37.6839,17.963933726759127,3.76839,26.53653151611166
220427_BF_RC7_30ms_11.3x-swim-acr125_burst_2,100,107,1.0,34.70451612903226,9.860474293660149,3.22752,28.814693634741225
220427_BF_RC7_30ms_11.3x-swim-acr125_burst_3,100,100,1.0,35.348600000000005,10.821602508338788,3.53486,28.28966352274206
220427_BF_RC7_30ms_11.3x-swim-acr125_burst_4_2,100,100,1.0,34.4214,13.222972665063253,3.44214,29.051694585345164
raw-220503_TPS_ACR085-crawling_zoom113_10ms_100img,100,100,10.0,33.0665,7.184647404941543,3.3066500000000003,30.24208791374956
raw-220503_TPS_ACR085-trashing_zoom113_10ms_100img,100,100,10.0,33.1473,7.744858816718934,3.31473,30.1683696711346
raw-220503_TPS_ACR125-crawling_zoom113_10ms_100img,100,100,10.0,32.8245,8.158093010358304,3.28245,30.465048972566223
raw-220503_TPS_ACR125-thrashing_zoom113_10ms_100img,100,100,10.0,33.0078,6.778871450426971,3.30078,30.295869461157665
raw-220503_TPS_N2-zoom113_20ms_2,500,747,20.0,250.1225296442688,159.04675365295503,63.281,3.998040486085871
raw-220503_TPS_N2-zoom197_20ms_1,500,781,20.0,261.75342465753425,141.24246647006768,57.324,3.8203893657106973
raw-220503_TPS_N2-zoom197_20ms_2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
